authorPerson,work,citationYear,familyName,givenName,name,birthYear,deathYear
http://e-editiones.ch/project/data/delille#person-boulmier,http://e-editiones.ch/project/data/delille#work-boulmierrimes,1857,Boulmier,Joseph,,,
http://e-editiones.ch/project/data/delille#person-bourinet,http://e-editiones.ch/project/data/delille#work-bourinetexcursion,1904,Bourinet,Louis,,,
http://e-editiones.ch/project/data/delille#person-bretondelamartiniere,http://e-editiones.ch/project/data/delille#work-bretondelamartinierevoyage,1803,Breton de La Martinière,Jean-Baptiste-Joseph,,,
http://e-editiones.ch/project/data/delille#person-bridel,http://e-editiones.ch/project/data/delille#work-brideljugements,1816,Bridel,Philippe-Louis,,,
http://e-editiones.ch/project/data/delille#person-brunel,http://e-editiones.ch/project/data/delille#work-brunelcours,1807,Brunel,Joseph,,,
http://e-editiones.ch/project/data/delille#person-bue,http://e-editiones.ch/project/data/delille#work-bueexercices,1873,Bué,Jules,,,
http://e-editiones.ch/project/data/delille#person-burr,http://e-editiones.ch/project/data/delille#work-burr_bienenzeitung,1847,,,Burr,,
http://e-editiones.ch/project/data/delille#person-cabeilleauteur,http://e-editiones.ch/project/data/delille#work-cabeille,1862,,,C.,,
http://e-editiones.ch/project/data/delille#person-candeille,http://e-editiones.ch/project/data/delille#work-candeillesouvenirs,1818,Candeille,Julie,,,
http://e-editiones.ch/project/data/delille#person-capelle,http://e-editiones.ch/project/data/delille#work-capelledictionnaire,1824,Capelle,Pierre,,,
http://e-editiones.ch/project/data/delille#person-carpentier,http://e-editiones.ch/project/data/delille#work-carpentiergradus,1822,Carpentier,Louis,,,
http://e-editiones.ch/project/data/delille#person-carre,http://e-editiones.ch/project/data/delille#work-carrejeuxfloraux,1822,Carré,Pierre-Laurent,,,
http://e-editiones.ch/project/data/delille#person-carro,http://e-editiones.ch/project/data/delille#work-carrocarlsbad,1853,Carro,Jean de,,,
http://e-editiones.ch/project/data/delille#person-cd,http://e-editiones.ch/project/data/delille#work-cdgazettedefrance,1845,,,C. D.,,
http://e-editiones.ch/project/data/delille#person-chabert,http://e-editiones.ch/project/data/delille#work-chabertnouvellegrammaire,1866,Chabert,Étienne-Agricol,,,
http://e-editiones.ch/project/data/delille#person-chaillou,http://e-editiones.ch/project/data/delille#work-chailloubulletinyonne,1852,Chaillou des Barres,Claude-Étienne,,,
http://e-editiones.ch/project/data/delille#person-chaix,http://e-editiones.ch/project/data/delille#work-chaixpreoccupations,1845,Chaix,Barthélémy,,,
http://e-editiones.ch/project/data/delille#person-champagnac,http://e-editiones.ch/project/data/delille#work-champagnacdevoir,1840,Champagnac,Jean-Baptiste-Joseph,,,
http://e-editiones.ch/project/data/delille#person-champagnac,http://e-editiones.ch/project/data/delille#work-champagnacgymnase,1836,Champagnac,Jean-Baptiste-Joseph,,,
http://e-editiones.ch/project/data/delille#person-champagnac,http://e-editiones.ch/project/data/delille#work-champagnacvarietes,1845,Champagnac,Jean-Baptiste-Joseph,,,
http://e-editiones.ch/project/data/delille#person-champalbert,http://e-editiones.ch/project/data/delille#work-champalbertpetitcours,1834,Champalbert,A.,,,
http://e-editiones.ch/project/data/delille#person-charlesjeandelille,http://e-editiones.ch/project/data/delille#work-delilleallomfrance,1845,Delille,Charles-Jean,,,
http://e-editiones.ch/project/data/delille#person-chasteigner,http://e-editiones.ch/project/data/delille#work-chasteignergazettebiarritz,1897,Chasteigner-Larocheposay,P. de,,,
http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1800,Chaussard,Pierre-Jean-Baptiste,,,
http://e-editiones.ch/project/data/delille#person-chautard,http://e-editiones.ch/project/data/delille#work-chautardlabonne,1843,Chautard,Scipion,,,
http://e-editiones.ch/project/data/delille#person-chauvin,http://e-editiones.ch/project/data/delille#work-chauvindissertation,1819,Chauvin,Joseph-Jean,,,
